java.exe,86.01265989272332,0.5375791243295207,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,85.98205040521701,0.5373878150326062,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,87.49722003677923,0.5468815388919843,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,94.1662621272159,0.5887304475920138,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,99.77162452680841,0.6237161352652384,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,116.044393322349,0.728027529407826,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,118.56202366974276,0.7410843889222352,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,119.36552271678332,0.7460823443041243,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,121.70332232507754,0.7606696781938489,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,126.3023978229002,0.7894378137173549,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,131.47922739740443,0.8219125668685777,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,150.00179352465855,0.9377264324881448,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,174.49703590158094,1.0915151935452243,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,182.64681195013523,1.1416382293368024,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,193.76570828680133,1.2112269860894227,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,207.3984087849229,1.2963835368784542,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,223.17377340848603,1.3951708750726377,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,257.57501117963704,1.6105373160740462,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,276.598807664807,1.7289577708640722,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,308.07301319316736,1.9254563324572962,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,310.1008917404602,1.9381305733778764,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,314.09542986003333,1.9630964366252086,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,310.80873613904356,1.9425546008690224,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,342.0495443251684,2.1378096520323027,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,342.0495443251684,2.1378096520323027,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,342.01128246578554,2.1375705154111597,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.0618479043262,2.169136549402039,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.1115883215239,2.1694474270095245,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.1115883215239,2.1694474270095245,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.22254771373434,2.1701648368729543,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.9150873685645,2.174469296053528,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.046543160573,2.1690408947535813,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,343.5494092129774,2.1461316064480798,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,343.38105703169276,2.1461316064480798,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,343.38105703169276,2.1461316064480798,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,344.89622666325494,2.1556014166453434,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,346.5606175464104,2.166075600651408,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,347.4329879403403,2.1714561746271266,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,351.37013327083895,2.192787161233084,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
java.exe,348.1140490373555,2.1757128064834723,<bound method Process.cpu_percent of psutil.Process(pid=10416, name='java.exe', status='running', started='14:16:15')>
