filename;violations
Report_BigQuery-API.md;64
Report_BigQuery-Connection-API.md;26
Report_BigQuery-Data-Transfer-API.md;43
Report_BigQuery-Reservation-API.md;44
Report_Bihar-State-Board-of-School-Examination,-Bihar.md;4
Report_Biju-Patnaik-University-Of-Technology,-Odisha.md;2
Report_BikeWise-API-v2.md;13
Report_Bill-Payment-Validator.md;2
Report_Billbee-API.md;115
Report_Billingo-API-v3.md;9
Report_Bills-API.md;61
Report_BIN-Lookup-API.md;6
Report_Binary-Authorization-API.md;31
Report_Blazemeter-API-Explorer.md;27
Report_BlockchainManagementClient.md;72
Report_Blogger-API.md;65
Report_BlueprintClient.md;6
Report_BlueprintClient157.md;15
Report_BlueprintClient158.md;28
Report_bng2latlong.md;2
Report_Board-of-Ayurvedic-and-Unani-Systems-of-Medicine,-Himachal-Pradesh,-Himachal-Pradesh.md;4
Report_BOARD-OF-HIGHER-SECONDARY-EXAMINATION,-KERALA,-Kerala.md;2
Report_Board-of-Vocational-Higher-Secondary-Examinations,-Kerala.md;2
Report_bono-RKSV-API.md;94
Report_Books-API.md;187
Report_Books-API430.md;27
Report_Botify-API.md;78
Report_Brain-Web-API.md;110
Report_brainbi.md;44
Report_Braket.md;18
Report_Branch-Locator-API.md;18
Report_BrandLovers-Marketplace-API-V1.md;144
Report_Braze-Endpoint.md;106
Report_bridgedb-webservice.md;45
Report_Browse-API.md;80
Report_Browshot-API.md;43
Report_Bufferapp.md;144
Report_Bulk-Data-Storage-System-Service.md;34
Report_Bulk-WHOIS-API.md;15
Report_BulkSMS-JSON-REST-API.md;26
Report_Bus-Route-and-Stop-Method.md;36
Report_Business-Profile-Performance-API.md;8
Report_Business-Registrie.md;24
Report_Buy-Marketing-API.md;21
Report_Calendar-API.md;68
Report_Call-Control-API.md;31
Report_CalorieNinja.md;5
Report_Cambase.i.md;97
Report_Canada-Holidays-API.md;5
Report_Car-Configurator.md;125
Report_Car-Registration-API.md;2
Report_CarbonDoomsDay.md;9
Report_Catalog-API.md;14
Report_Catalog-Inventory.md;105
Report_CBB-v3-Score.md;29
Report_CBB-v3-Stat.md;47
Report_CdnManagementClient.md;142
Report_Cenit-IO---REST-API-Specificati.md;105
Report_Central-Board-of-Secondary-Educati.md;30
Report_Certificate-Authority-API.md;79
Report_Certificate-Manager-API.md;39
Report_CertificateRegistrationProvider-API-Client.md;4
Report_Certificates-API-Client.md;14
Report_CFB-v3-Score.md;39
Report_Chaingateway.i.md;60
Report_Channel-4-API.md;259
Report_ChannelShipper--Royal-Mail-Public-API.md;10
Report_Charity-API.md;16
Report_Checks-API.md;49
Report_Chhattisgarh-State-Board-of-Secondary-Education,-Chhattisgarh.md;4
Report_Chitkara-University.md;2
Report_Cholamandalam-MS-General-Insurance-Company-Ltd.md;4
Report_Chomp-Food-Database-API-Documentati.md;29
Report_Chrome-Management-API.md;42
Report_Chrome-Policy-API.md;81
Report_Chrome-UX-Report-API.md;4
Report_Chrome-Verified-Access-API.md;8
Report_CircleCI-REST-API.md;40
Report_CIS-Automotive-API.md;76
Report_CISCE.md;10
Report_Cisco-PSIRT-openVuln-API.md;83
Report_City-of-Surrey-Open511-API.md;9
Report_City-of-Surrey-Traffic-Loop-Count-API.md;12
Report_CitySDK-Linked-Data.md;105
Report_Civil-Supplies-Department,-Kerala.md;2
Report_Climate-FieldView-Platform-API.md;61
Report_climateKuul-live.md;111
Report_Cloud-Asset-API.md;8
Report_Cloud-AutoML-API.md;92
Report_Cloud-Bigtable-Admin-API.md;80
Report_Cloud-Billing-API.md;9
Report_Cloud-Billing-Budget-API.md;8
Report_Cloud-Build-API.md;14
Report_Cloud-Channel-API.md;151
Report_Cloud-Composer-API.md;36
Report_Cloud-Data-Fusion-API.md;61
Report_Cloud-Data-Loss-Prevention-(DLP)-API.md;71
Report_Cloud-Dataplex-API.md;77
Report_Cloud-Dataproc-API.md;89
Report_Cloud-Datastore-API.md;6
Report_Cloud-Debugger-API.md;30
Report_Cloud-Deployment-Manager-V2-API.md;98
Report_Cloud-DNS-API.md;78
Report_Cloud-Document-AI-API.md;63
Report_Cloud-Domains-API.md;96
Report_Cloud-Filestore-API.md;40
Report_Cloud-Firestore-API.md;21
Report_Cloud-Functions-API.md;44
Report_Cloud-Healthcare-API.md;235
Report_Cloud-Identity-API.md;114
Report_Cloud-Identity-Aware-Proxy-API.md;18
Report_Cloud-IDS-API.md;35
Report_Cloud-IoT-API.md;60
Report_Cloud-Key-Management-Service-(KMS)-API.md;103
Report_Cloud-Life-Sciences-API.md;17
Report_Cloud-Logging-API.md;79
Report_Cloud-Memorystore-for-Memcached-API.md;42
Report_Cloud-Monitoring-API.md;46
Report_Cloud-Natural-Language-API.md;24
Report_Cloud-OS-Login-API.md;17
Report_Cloud-Private-Catalog-Producer.md;54
Report_Cloud-Private-Catalog.md;12
Report_Cloud-PubSub-API.md;60
Report_Cloud-Resource-Manager-API.md;70
Report_Cloud-RF-API.md;39
Report_Cloud-Run-Admin-API.md;46
Report_Cloud-Runtime-Configuration-API.md;37
Report_Cloud-Scheduler-API.md;23
Report_Cloud-Search-API.md;124
Report_Cloud-Shell-API.md;28
Report_Cloud-Source-Repositories-API.md;34
Report_Cloud-Spanner-API.md;140
Report_Cloud-Speech-to-Text-API.md;6
Report_Cloud-SQL-Admin-API.md;178
Report_Cloud-SQL-Admin-API419.md;124
Report_Cloud-Storage-for-Firebase-API.md;16
Report_Cloud-Storage-JSON-API.md;51
Report_Cloud-Talent-Solution-API.md;58
Report_Cloud-Tasks-API.md;51
Report_Cloud-Testing-API.md;21
Report_Cloud-Text-to-Speech-API.md;6
Report_Cloud-Tool-Results-API.md;66
Report_Cloud-TPU-API.md;50
Report_Cloud-Trace-API.md;9
Report_Cloud-Translation-API.md;53
Report_Cloud-Video-Intelligence-API.md;3
Report_Cloud-Vision-API.md;32
Report_Clubhouse-API.md;92
Report_Cnab-Online.md;5
Report_Co-WIN-Certificate-API.md;3
Report_CodeArtifact.md;131
Report_CodeScan-API.md;2
Report_CognitiveServicesManagementClient.md;38
Report_Commerce-API.md;4
Report_CommerceManagementClient.md;16
Report_CommerceManagementClient92.md;4
Report_Common-Service-Centre-(CSC).md;2
Report_Commons-Votes-API.md;24
Report_Community-API.md;17
Report_CompanyAPI.md;2
Report_Compliance-API.md;17
Report_Compliance-API406.md;17
Report_Compute-Admin-Client.md;4
Report_Compute-Admin-Client122.md;11
Report_Compute-Admin-Client129.md;7
Report_Compute-Admin-Client143.md;10
Report_ComputeDiskAdminManagementClient.md;11
Report_ComputeDiskAdminManagementClient98.md;4
Report_ComputeManagementClient159.md;5
Report_ComputeManagementConvenienceClient.md;3
Report_Computer-Visi.md;18
Report_Computer-Vision-Client.md;14
Report_Computer-Vision-Client426.md;19
Report_ConfigCat-Public-Management-API.md;248
Report_Confirmation-of-Funds-API-Specificati.md;34
Report_Connectors-API.md;37
Report_ConsumptionManagementClient.md;125
Report_Contact-Center-AI-Insights-API.md;58
Report_Container-Analysis-API.md;59
Report_ContainerInstanceManagementClient.md;48
Report_ContainerRegistryManagementClient.md;79
Report_ContainerRegistryManagementClient160.md;52
Report_ContainerRegistryManagementClient161.md;28
Report_ContainerServiceClient.md;14
Report_ContainerServiceClient162.md;14
Report_ContainerServiceClient163.md;3
Report_ContainerServiceClient164.md;84
Report_ContainerServiceClient165.md;14
Report_ContainerServiceClient166.md;14
Report_ContainerServiceClient167.md;3
Report_ContainerServiceClient168.md;50
Report_ContainerServiceClient169.md;14
Report_Content-Moderator-Client.md;124
Report_contentwarehouse-API.md;71
Report_Contract.fit-API.md;29
Report_Contribly.md;29
Report_Control-API-v1.md;6
Report_Conversation-API.md;27
Report_Conversation-API428.md;0
Report_CORE-API-v2.md;92
Report_Coronavirus-API.md;6
Report_Corrently.i.md;53
Report_Cosmos-DB.md;312
Report_Cosmos-DB170.md;12
Report_Cosmos-DB171.md;6
Report_CostManagementClient.md;33
Report_COVID-19-data-API.md;5
Report_COVID19-Stat.md;8
Report_CPCT-MAPIT,-Madhya-Pradesh.md;2
Report_crapi.md;60
Report_Credas-API.md;72
Report_Crediwatchs-Covid-API.md;7
Report_CRM-card.md;14
Report_CROssBAR-Data-API.md;47
Report_Crossbrowsertesting.com-Screenshot-Comparisons-API.md;7
Report_Crucible.md;326
Report_Custom-Behavioral-Events-API.md;3
Report_Custom-Image-Search-Client.md;2
Report_Custom-Search-API.md;4
Report_Custom-Search-Client.md;1
Report_Custom-Vision-Prediction-Client.md;28
Report_Custom-Vision-Training-Client.md;88
Report_Custom-Workflow-Acti.md;49
Report_Customer-Lockbox.md;17
Report_CustomerInsightsManagementClient.md;197
Report_customprovider.md;30
Report_CyCAT.org-API.md;42
Report_D7SMS.md;8
Report_Dados-Abertos---API.md;27
Report_Data-API.md;65
Report_Data-Labeling-API.md;92
Report_Data-pipelines-API.md;23
Report_Data2CRM.API.md;853
Report_Database-Migration-API.md;70
Report_Database-Threat-Detection-Policy-API.md;4
Report_DataBoxEdgeManagementClient.md;195
Report_DataBoxEdgeManagementClient172.md;164
Report_DataBoxManagementClient.md;62
Report_DatabricksClient.md;21
Report_DataFactoryManagementClient.md;296
Report_Dataflow-API.md;125
Report_Dataflow-Kit-Web-Scraper.md;3
Report_DataLakeAnalyticsAccountManagementClient.md;81
Report_DataLakeAnalyticsCatalogManagementClient.md;126
Report_DataLakeAnalyticsJobManagementClient.md;23
Report_DataLakeStoreAccountManagementClient.md;68
Report_DataLakeStoreFileSystemManagementClient.md;10
Report_Dataproc-Metastore-API.md;58
Report_DataShareManagementClient.md;146
Report_Datastream-API.md;61
Report_Daymet-Single-Pixel-Extraction-Tool-API.md;16
Report_Deal-API.md;20
Report_Dealer.md;14
Report_Debian-Code-Search.md;5
Report_Deed-API.md;2
Report_Deep-Art-Effect.md;8
Report_DeletedWebApps-API-Client.md;14
Report_Department-of-Agricultural-Marketing,-Karnataka.md;3
Report_Department-of-Empowerment-of-Persons-with-Disabilitie.md;4
Report_Department-of-Food,-Public-Distribution--Consumer-Affairs-(PDS),-Jharkhand.md;2
Report_Department-of-Food-and-Civil-Supplies-Himachal-Pradesh,-Himachal-Pradesh.md;2
Report_Department-of-IT-and-BT,-Karnataka.md;4
Report_Department-of-IT-and-Communication,-Arunachal-Pradesh.md;2
Report_Department-of-Labour,-Govt-of-Punjab,-Punjab.md;5
Report_Department-of-Legal-Metrology,-Uttar-Pradesh.md;4
Report_Department-of-Pension-and-Pensioners-Welfare.md;2
Report_Department-of-Registration--Stamps,-Maharashtra.md;2
Report_Department-of-Sainik-Welfare,-Puducherry.md;2
Report_departureboard.io-API.md;60
Report_DeploymentAdminClient.md;9
Report_DeploymentAdminClient105.md;15
Report_DeploymentAdminClient124.md;45
Report_DeploymentAdminClient125.md;15
Report_DeploymentAdminClient126.md;19
Report_DeploymentAdminClient88.md;7
Report_DeploymentAdminClient96.md;4
Report_DeploymentScriptsClient.md;20
Report_DEV-API-(beta).md;18
Report_DeviceService.md;21
Report_DevSpacesManagement.md;21
Report_Diagnostics-API-Client.md;44
Report_Dialogflow-API.md;177
Report_DigiLocker-Issuer-API.md;8
Report_Digital-Asset-Links-API.md;9
Report_DigitalNZ-API.md;8
Report_DigitalOcean-API.md;1648
Report_Directorate-of-Economics-and-Statistics-Cum-Chief-Registrar,-Rajasthan,-Rajastha.md;6
Report_Directorate-of-Information-Technology,-Government-of-Tripura,-Tripura.md;33
Report_Directorate-of-Municipal-Administration,-Karnataka.md;7
Report_Discovery-API.md;65
Report_Discovery-Market-Research.md;10
Report_DiskResourceProviderClient.md;79
Report_Dispatch-API.md;3
Report_DLx.md;43
Report_DnsManagementClient.md;26
Report_Doc-Converter.md;3
Report_Domai.md;5
Report_Domain-Services-Resource-Provider.md;12
Report_DomainRegistrationProvider-API-Client.md;4
Report_Domains-API-Client.md;45
Report_Domains-Index-API.md;71
Report_Domains-RDAP-API.md;25
Report_DoubleClick-Bid-Manager-API.md;10
Report_Dr.-A.-P.-J.-Abdul-Kalam-Technical-University,-Lucknow,-Uttar-Pradesh.md;4
Report_Dr.-B.R.-Ambedkar-Institute-of-Technology,Andaman--Nicobar-Island.md;2
Report_Dr.-Babasaheb-Ambedkar-Research--Training-Institute,-Maharashtra.md;2
Report_Drive-Activity-API.md;2
Report_Drive-Activity-API417.md;5
Report_Drive-API.md;72
Report_Drive-Labels-API.md;40
Report_DriveBCs-Open511-API.md;9
Report_DropX.md;92
Report_dweet.i.md;51
Report_DynamicDoc.md;2
Report_Dynamics-Telemetry.md;4
Report_EasyPDFServer.md;0
Report_eBay-Finances-API.md;33
Report_EC2-Image-Builder.md;221
Report_Ecosystem-API.md;0
Report_ecwid.md;440
Report_eDistrict-Andaman--Nicobar-Islands,-Andaman--Nicobar.md;22
Report_eDistrict-Chandigarh,-Chandigarh.md;7
Report_eDistrict-Himachal-Pradesh,-Himachal-Pradesh.md;62
Report_eDistrict-Kerala,-Kerala.md;48
Report_eDistrict-Odisha,-Odisha.md;13
Report_eDistrict-Odisha-ServicePlus,-Odisha.md;14
Report_eDistrict-Uttar-Pradesh,-Uttar-Pradesh.md;12
Report_eDRV-API.md;209
Report_Einstein-Vision-and-Einstein-Language.md;151
Report_Elastic-Load-Balancing.md;181
Report_Elastic-Load-Balancing1.md;211
Report_elmah.io-API.md;125
Report_Employees-Provident-Fund-Organizati.md;6
Report_eNanoMapper-database.md;55
Report_eNanoMapper-database420.md;55
Report_Engagement.ManagementClient.md;132
Report_EngagementFabric.md;36
Report_Enode-API.md;48
Report_Enterobase-API.md;123
Report_Enterprise-License-Manager-API.md;18
Report_Entertainment-Express-API.md;0
Report_Entity-Search-Client.md;1
Report_Error-Reporting-API.md;18
Report_Erskine-May-API.md;40
Report_eService-(eDistrict),-Arunachal-Pradesh.md;12
Report_ESG-Rating-Data.md;1
Report_Essential-Contacts-API.md;17
Report_Etherpad-API.md;152
Report_etlist.fm-API.md;40
Report_EtMDB-REST-API-v1.md;108
Report_EU-BON-UTIS.md;6
Report_Europeana-Search--Record-API.md;57
Report_EVEMarketer-Marketstat-API.md;12
Report_Event-Notification-API-Specification---TPP-Endpoint.md;1
Report_Eventarc-API.md;34
Report_EventGridManagementClient.md;135
Report_EventHub2018PreviewManagementClient.md;70
Report_EventHubManagementClient.md;136
Report_Events-API.md;8
Report_Ex-Libris-API.md;46
Report_ExaVault.md;20
Report_ExchangeRate-API.md;0
Report_Execution-Service.md;20
Report_ExpressRouteCrossConnection-REST-API.md;34
Report_extAuth-API.md;155
Report_Extension-API.md;6
Report_External-Accounts-API.md;16
Report_Extpose.md;2
Report_Exude-API-Service.md;2
Report_FabricAdminClient.md;8
Report_FabricAdminClient100.md;6
Report_FabricAdminClient101.md;8
Report_FabricAdminClient102.md;8
Report_FabricAdminClient103.md;4
Report_FabricAdminClient104.md;7
Report_FabricAdminClient106.md;8
Report_FabricAdminClient108.md;14
Report_FabricAdminClient109.md;36
Report_FabricAdminClient111.md;9
Report_FabricAdminClient113.md;8
Report_FabricAdminClient114.md;8
Report_FabricAdminClient115.md;8
Report_FabricAdminClient118.md;8
Report_FabricAdminClient120.md;8
Report_FabricAdminClient132.md;23
Report_FabricAdminClient133.md;46
Report_FabricAdminClient135.md;8
Report_FabricAdminClient136.md;8
Report_FabricAdminClient137.md;8
Report_FabricAdminClient138.md;8
Report_FabricAdminClient139.md;8
Report_FabricAdminClient145.md;6
Report_FabricAdminClient93.md;8
Report_Face-Client.md;121
Report_Fact-Check-Tools-API.md;10
Report_Facts-API.md;8
Report_Fahrplan-Free.md;9
Report_Fake-identity-generation-API.md;15
Report_Faretrotter-Travel-API.md;16
Report_FaSta---Station-Facilities-Statu.md;15
Report_FastAPI.md;2
Report_FeatureClient.md;15
Report_Feed-API.md;138
Report_File.md;48
Report_FinSpace-Public-API.md;10
Report_FinSpace-User-Environment-Management-service.md;12
Report_Fire-Financial-Services-Business-API.md;54
Report_Firebase-App-Check-API.md;117
Report_Firebase-Cloud-Messaging-API.md;4
Report_Firebase-Cloud-Messaging-Data-API.md;4
Report_Firebase-Dynamic-Links-API.md;22
Report_Firebase-Hosting-API.md;38
Report_Firebase-Management-API.md;68
Report_Firebase-ML-API.md;11
Report_Firebase-Realtime-Database-API.md;21
Report_Firebase-Rules-API.md;22
Report_Firewall-Management-Service.md;150
Report_FishEye.md;77
Report_Fitbit-Plus-API.md;53
Report_Fitness-API.md;32
Report_Flat-API.md;125
Report_Flickr-API-Schema.md;88
Report_Flight-Offers-Search.md;1
Report_Flinkster_API_NG.md;6
Report_Food,-Civil-Supplies-and-Consumer-Affairs-Department,-Karnataka.md;2
Report_Food-and-Supplies-Department,-Haryana.md;2
Report_Football-Prediction-API.md;10
Report_Form-Recognizer-Client.md;24
Report_FORTNITE-REST-API.md;17
Report_Frankie-Financial-API.md;74
Report_FraudLabs-Pro-Fraud-Detecti.md;4
Report_FraudLabs-Pro-SMS-Verificati.md;6
Report_FRC-Event.md;0
Report_Freesound.md;4
Report_FrontDoorManagementClient.md;67
Report_Fulfillment-API.md;92
Report_Fulfillment.com-APIv2.md;20
Report_Fun-Generators-API.md;17
Report_Fun-Generators-API407.md;3
Report_Fun-Generators-API408.md;4
Report_FunTranslations-API.md;22
Report_FunTranslations-Braille-API.md;3
Report_Furkot-Trip.md;3
Report_Fusion-Solutions-Market-Data-API-v1.md;45
Report_Future-Generali-Total-Insurance-Soluti.md;10
Report_GalleryManagementClient.md;4
Report_GalleryManagementClient107.md;13
Report_Game-Services-API.md;31
Report_GameSparks-Game-Details-API.md;334
Report_Gateway-REST-API.md;35
Report_Gateway.md;175
Report_Gauhati-University.md;2
Report_Geetanjali-University,-Udaipur.md;2
Report_General-Administration-Department,-Bihar.md;8
Report_Genomics-API.md;19
Report_Geocoder-REST-API.md;91
Report_GeoDataSource-Location-Search.md;0
Report_GeoDB-Cities-API.md;52
Report_geodesystems.com443.md;1047
Report_Geographic-API.md;4
Report_Geomag-API.md;3
Report_GeoMark-Web-Service-REST-API.md;51
Report_Georg-API.md;1
Report_Getty-Image.md;283
Report_Giphy-API.md;62
Report_Gisgraphy-webservice.md;37
Report_Gitlab.md;938
Report_GKE-Hub-API.md;52
Report_GlobalWineScore-API-Documentati.md;7
Report_Gmail-API.md;219
Report_Gmail-Postmaster-Tools-API.md;9
Report_GMCH,-Chandigarh.md;3
Report_Go-Digit-General-Insurance-Ltd.md;6
Report_Goa-State-Board-of-Secondary-and-Higher-Secondary-Education,-Goa.md;2
Report_Goa-Water-Resources-Department,-Goa.md;6
Report_Golf-v2.md;29
Report_goog.io-Unoffical-Google-Search-API.md;27
Report_Google-Analytics-Admin-API.md;134
Report_Google-Analytics-API.md;132
Report_Google-Analytics-Data-API.md;37
Report_Google-API.md;10
Report_Google-Chat-API.md;16
Report_Google-Civic-Information-API.md;5
Report_Google-Classroom-API.md;130
Report_Google-Cloud-Data-Catalog-API.md;72
Report_Google-Cloud-Deploy-API.md;64
Report_Google-Cloud-Memorystore-for-Redis-API.md;46
Report_Google-Cloud-Support-API.md;36
Report_Google-Docs-API.md;9
Report_Google-Forms-API.md;22
Report_Google-Home.md;73
Report_Google-Mirror.md;29
Report_Google-My-Business-API.md;132
Report_Google-OAuth2-API.md;8
Report_Google-Pay-Passes-API.md;204
Report_Google-Play-Android-Developer-API.md;303
Report_Google-Play-Custom-App-Publishing-API.md;5
Report_Google-Play-Developer-Reporting-API.md;7
Report_Google-Play-EMM-API.md;282
Report_Google-Play-Game-Management.md;87
Report_Google-Play-Game-Service.md;85
Report_Google-Play-Game-Services-Publishing-API.md;21
Report_Google-Play-Integrity-API.md;5
Report_Google-Search-Console-API.md;30
Report_Google-Sheets-API.md;66
Report_Google-Site-Verification-API.md;14
Report_Google-Slides-API.md;14
Report_Google-Vault-API.md;69
Report_Google-Workspace-Alert-Center-API.md;27
Report_Google-Workspace-Reseller-API.md;66
Report_GoToMeeting.md;63
Report_GoToTraining.md;89
Report_GoToWebinar.md;137
Report_GOV.UK-Pay-API.md;41
Report_GraphHopper-Directions-API.md;29
Report_GraphRbacManagementClient.md;143
Report_Gravity-API.md;11
Report_Greater-Chennai-Corporation,-Tamil-Nadu.md;4
Report_Greenwire-Public-API.md;0
Report_groov-View-Public-API.md;37
Report_Groundwater-Wells,-Aquifers-and-Registry-API.md;66
Report_Groups-Migration-API.md;3
Report_Groups-Settings-API.md;2
Report_Growth-Service.md;91
Report_Guest-Diagnostic-Setting.md;17
Report_Guest-Diagnostic-Settings-Associati.md;18
Report_GuestConfigurati.md;17
Report_GuestConfiguration173.md;4
Report_Gujarat-Vidyapith,-Ahmedabad.md;2
Report_HackathonWatch.md;24
Report_HanaManagementClient.md;33
Report_Handwrytten-API.md;71
Report_Hardware-Sentry-TrueSight-Presentation-Server-REST-API.md;91
Report_Haryana-State-Board-of-School-Education,-Haryana.md;4
Report_Haryana-State-Board-of-Technical-Education,-Haryana.md;2
Report_hashlookup-CIRCL-API.md;23
Report_HDInsightJobManagementClient.md;35
Report_HDInsightManagementClient.md;9
Report_HDInsightManagementClient174.md;2
Report_HDInsightManagementClient175.md;40
Report_HDInsightManagementClient176.md;10
Report_HDInsightManagementClient177.md;21
Report_HDInsightManagementClient178.md;8
Report_HDInsightManagementClient179.md;4
Report_HDInsightManagementClient180.md;25
Report_Health-Data-Consent-Manager.md;81
Report_Health-ID-Service.md;493
Report_Health-Repository-Provider-Specifications-for-HIP.md;104
Report_Health-Repository-Provider-Specifications-for-HIU.md;119
Report_Healthcare.md;38
Report_HealthcareApisClient.md;26
Report_HERE-Network-Positioning-API-v2.md;2
Report_hetras-Booking-API-Version-0.md;176
Report_hetras-Hotel-API-Version-0.md;193
Report_HHS-Media-Services-API.md;260
Report_High-Performance-Building-Database.md;9
Report_Highways-England-API.md;37
Report_Himachal-Pradesh-Board-of-School-Education,-Himachal-Pradesh.md;4
Report_Himachal-Pradesh-Department-of-Revenue,-Himachal-Pradesh.md;27
Report_Himachal-Pradesh-Takniki-Shiksha-Board-Dharamshala,-Himachal-Pradesh.md;2
Report_hinobiapi.md;174
Report_hipstati.md;0
Report_HomeGraph-API.md;18
Report_House-of-Commons-Oral-and-Written-Questions-API.md;7
Report_HP-Staff-Selection-Commission---HPSSC---Himachal-Pradesh,-Himachal-Pradesh.md;2
Report_HP-Swasthya-Bima-Yojna-Society,-Himachal-Pradesh.md;2
Report_httpbin.org.md;201
Report_Hubhopper-Partner-Integration-API(s)---Producti.md;21
Report_HubSpot-Events-API.md;2
Report_HybridComputeManagementClient.md;33
Report_HybridDataManagementClient.md;87
Report_Hydra-Movie.md;12
Report_HyperDrive.md;8
Report_IAM-Service-Account-Credentials-API.md;22
Report_IBKR-3rd-Party-Web-API.md;103
Report_IBM-Containers-API.md;210
Report_ic.at-Domainfinder-API-Documentati.md;2
Report_ICICI-Lombard-GIC-Ltd.md;14
Report_ICICI-Prudential-Life-Insurance-Company-Ltd.md;2
Report_ID4i-API.md;1109
Report_Idea-Hub-API.md;10
Report_IdealPostcodes-API.md;38
Report_IdealSpot-GeoData.md;10
Report_Identity-and-Access-Management-(IAM)-API.md;9
Report_Identity-API.md;4
Report_Identity-Toolkit-API.md;73
Report_Image-Chart.md;3
Report_Image-Moderati.md;4
Report_Image-Search-Client.md;7
Report_import.i.md;4
Report_import.io421.md;1
Report_import.io422.md;1
Report_import.io423.md;2
Report_import.io424.md;5
Report_Importer-Exporter-Details-API.md;3
Report_Incident.md;16
Report_Income-Tax-Department.md;2
Report_Indexing-API.md;8
Report_Indian-Navy-(INS-Valsura).md;4
Report_Infermedica-API.md;23
Report_InfrastructureInsightsManagementClient.md;11
Report_InfrastructureInsightsManagementClient110.md;4
Report_InfrastructureInsightsManagementClient130.md;6
Report_InfrastructureInsightsManagementClient131.md;6
Report_InfrastructureInsightsManagementClient134.md;6
Report_Ink-Recognizer-Client.md;3
Report_Instagram-API.md;40
Report_InstanceMetadataClient.md;4
Report_Institute-of-Company-Secretaries-of-India.md;4
Report_Intel-Product-Catalogue-Service.md;12
Report_Interzoid-City-Data-Standardization-API.md;7
Report_Interzoid-Convert-Currency-Rate-API.md;7
Report_Interzoid-Country-Data-Standardization-API.md;7
Report_Interzoid-Get-Address-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Area-Code-API.md;8
Report_Interzoid-Get-Area-Code-From-Number-API.md;8
Report_Interzoid-Get-City-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Company-Name-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Country-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Currency-Rate-API.md;8
Report_Interzoid-Get-Email-Information-API.md;8
Report_Interzoid-Get-Full-Name-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Full-Name-Parsed-Match-Similarity-Key-API.md;7
Report_Interzoid-Get-Global-Phone-Number-Information-API.md;8
Report_Interzoid-Get-Global-Time-API.md;8
Report_Interzoid-Get-Weather-By-Zip-Code-API.md;8
Report_Interzoid-Get-Weather-City-API.md;8
Report_Interzoid-Global-Page-Load-Performance-API.md;7
Report_Interzoid-State-Data-Standardization-API.md;7
Report_Interzoid-Zip-Code-Detailed-Info-API.md;7
Report_IntuneResourceManagementClient.md;89
Report_Inventory-Management.md;15
Report_iotDpsClient.md;55
Report_iotDpsClient268.md;55
Report_iotHubClient.md;104
Report_IoTSpacesClient.md;30
Report_IoTVAS-API.md;40
Report_IP-geolocation-API.md;2
Report_IP2Location-IP-Geolocati.md;2
Report_IP2Proxy-Proxy-Detecti.md;2
Report_IP2WHOIS-Domain-Lookup.md;2
Report_ipTwist.md;5
Report_ISBNdb-API.md;33
Report_Item-API.md;14
Report_Item-Feed-Service.md;38
Report_IX-API.md;31
Report_Jawaharlal-Nehru-Rajkeeya-Mahavidyalaya.md;2
Report_Jaypee-University-Of-Information-Technology,-Waknaghat-(H.-P.).md;2
Report_Jharkhand-State-Board-(Jharkhand-Academic-Council),-Jharkhand.md;8
Report_Jharsewa-(eDistrict),-Jharkhand.md;14
Report_JIRA-7.6.1.md;996
Report_Jirafe-Event.md;36
Report_Joint-Entrance-Examination-Council,-Uttar-Pradesh,-Uttar-Pradesh.md;2
Report_Jokes-One-API.md;11
Report_JSON-storage.md;1
Report_Karnataka-Department-of-Transport,-Karnataka.md;4
Report_Karnataka-Industrial-Areas-Development-Board,-Karnataka.md;15
Report_Karnataka-Secondary-Education-Examination-Board,-Karnataka.md;2
Report_Karnataka-State-Board-(Department-of-Pre-University-Education),-Karnataka.md;2
Report_KERALA-PUBLIC-SERVICE-COMMISSION,-Kerala.md;2
Report_Kerala-State-Board-of-Public-Examinations,-Kerala.md;2
Report_Keycloak-Admin-REST-API.md;846
Report_KeyServ.md;66
Report_KeyVaultClient.md;95
Report_KeyVaultManagementClient.md;4
Report_KeyVaultManagementClient181.md;3
Report_KeyVaultManagementClient182.md;3
Report_Knowledge-Graph-Search-API.md;3
Report_koomalooma-Partner-API.md;6
Report_Kotak-Mahindra-General-Insurance-Company-Ltd.md;12
Report_Krishna-Kanta-Handique-State-Open-University-(KKHSOU),-Assam.md;2
Report_Kubernetes-Engine-API.md;207
Report_KustoManagementClient.md;112
Report_KYC-API-Documentati.md;261
Report_Labour-Employment,-Skill-Development-and-Entrepreneurship,-Mizoram.md;2
Report_Labour-Resource-Department,-Bihar.md;11
Report_Labs64-NetLicensing-RESTful-API-Test-Center.md;233
Report_LambdaTest-Screenshots-API-Documentati.md;3
Report_Language-Identification-(Prediction).md;2
Report_Language-Understanding-Intelligent-Service-(LUIS)-Endpoint-API.md;3
Report_LanguageTool-API.md;4
Report_LaunchDarkly-REST-API.md;296
Report_Learnifier.md;48
Report_LetMC-Api-V2,-Basic-(Tier-2).md;129
Report_LetMC-Api-V2,-Free-(Tier-1).md;125
