java.exe,87.56991756960669,0.5473119848100418,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,87.600527057113,0.5475032941069562,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,90.24824772640856,0.5641711166006251,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,94.36522379600692,0.5897826487250432,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,100.26520251284761,0.6268966523264407,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,111.30757513074795,0.6957919128777462,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,121.40105363595275,0.7616979656647639,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,121.92906729543655,0.7621044979207071,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,128.3073192545633,0.8020403136515922,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,130.96651848167377,0.818540740510461,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,140.63146416179026,0.8599113759682043,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,174.13354823744353,1.0925434810161394,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,184.73973565837898,1.1552690167419548,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,110.51938082746054,0.6907461301716283,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,117.84652689928282,0.7368994980522322,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,132.32481448976617,0.8270300905610385,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,131.82358413185037,0.8238974008240647,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,137.04632793761402,0.8565395496100877,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,137.42129415956632,0.8588830884972894,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
java.exe,152.19419806729783,0.9514050472175258,<bound method Process.cpu_percent of psutil.Process(pid=21948, name='java.exe', status='running', started='19:21:34')>
