java.exe,498.81603458872087,3.1176002161795053,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,498.86577500591864,3.1179110937869914,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,501.14618182513846,3.1323788593661446,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,507.30251499984456,3.1707363733974856,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,513.4320648729826,3.209117801090941,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,540.5214613160645,3.379430902669004,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,562.6597731550012,3.5168148915156716,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,568.5712304296568,3.553737585820155,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,574.5936470965228,3.591377689988067,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,603.7147482728358,3.7742693778382526,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,624.0891883942214,3.9007009094365706,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,629.6754198641225,3.935614856123452,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,635.9197553154092,3.9746658663561076,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,669.2113991644565,4.183456050276083,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,685.1283326677365,4.282195561146039,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,690.7298688813906,4.317157335157148,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,698.6347690298945,4.367471680245641,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
java.exe,745.4251968692233,4.65893139409476,<bound method Process.cpu_percent of psutil.Process(pid=14664, name='java.exe', status='running', started='20:39:01')>
