java.exe,109.39448216160376,0.6866090666258541,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,119.46117736524053,0.7467519268433248,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,121.41635837970593,0.7589718081837334,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,123.22614432851633,0.770163402053227,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,130.46146193781968,0.8154319644356016,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,149.53117265424908,0.9346415700753998,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,153.17370166749967,0.9574791173945586,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,168.9337615473096,1.0559555779812566,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,195.33827070743786,1.2240686226448032,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,214.15545315194024,1.3386628914965408,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,220.91249751895757,1.3808705051282848,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,234.04396765916334,1.462942193504571,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,246.41402679764977,1.5403985450927968,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,268.59060049596934,1.6858175244098705,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,301.3465783136564,1.8879836239241843,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,300.11072025558923,1.8756920015974325,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,300.2331582056145,1.88006820176435,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,303.4815900672213,1.8967599379201332,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,306.3818390084439,1.9148864938027743,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,338.8125910213764,2.1175786938836025,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,338.8164172073147,2.117602607545717,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,338.8164172073147,2.117602607545717,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,344.8770957335636,2.157394941303916,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,346.7442744714483,2.167151715446552,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,346.7442744714483,2.167151715446552,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,346.7442744714483,2.167151715446552,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,347.1728072965366,2.169997441238154,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,355.23458106851024,2.220431354637218,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,360.97768616188114,2.256254020484443,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,366.9044481802899,2.293320196761612,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,393.638009331111,2.461361500438816,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,418.1179469642802,2.61345239148578,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,423.8189640123299,2.6490120070497474,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
java.exe,443.73808800705933,2.7733630500441206,<bound method Process.cpu_percent of psutil.Process(pid=25048, name='java.exe', status='running', started='21:22:39')>
