title;x-apisguru-categories;openapiVer;swaggerUrl
ApiManagementClient33;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/apimanagement-apimusers/2019-12-01-preview/swagger.json
ApiManagementClient34;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/apimanagement-apimversionsets/2018-06-01-preview/swagger.json
Azure Log Analytics Query Packs;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-QueryPackQueries_API/2019-09-01-preview/swagger.json
Azure Log Analytics Query Packs1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-QueryPacks_API/2019-09-01-preview/swagger.json
ApplicationInsightsManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-aiOperations_API/2015-05-01/swagger.json
ApplicationInsightsManagement1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-analyticsItems_API/2015-05-01/swagger.json
ApplicationInsightsManagement2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentAnnotations_API/2015-05-01/swagger.json
ApplicationInsightsManagement3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentApiKeys_API/2015-05-01/swagger.json
ApplicationInsightsManagement4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentContinuousExport_API/2015-05-01/swagger.json
ApplicationInsightsManagement5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentFeaturesAndPricing_API/2017-10-01/swagger.json
ApplicationInsightsManagement6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentProactiveDetection_API/2018-05-01-preview/swagger.json
ApplicationInsightsManagement7;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-componentWorkItemConfigs_API/2015-05-01/swagger.json
ApplicationInsightsManagement8;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-components_API/2015-05-01/swagger.json
